Word,Count
the,1553
to,1552
a,797
of,780
for,521
is,521
and,508
-,497
in,457
you,343
if,315
on,292
we,291
this,261
with,254
can,252
that,243
//,242
=,239
are,225
be,224
it,222
use,222
window,210
or,208
from,189
your,182
as,177
by,174
so,153
text,145
not,141
when,133
have,131
call,130
an,125
into,121
but,121
at,119
input,117
using,113
cursor,113
will,112
font,110
data,107
position,106
need,104
ImGui,100
user,99
don't,97
If,95
set,94
code,93
only,93
function,93
may,91
size,90
current,89
want,86
same,81
all,81
frame,80
add,80
We,79
This,78
characters,76
+,75
one,73
more,73
used,71
functions,71
/,69
,68
render,68
multiple,68
mouse,68
which,67
ID,67
character,67
-----------------------------------------------------------------------------,67
line,66
state,66
list,66
because,66
The,65
keyboard,65
file,63
point,63
no,62
buffer,62
move,62
API,61
before,61
first,61
1,61
draw,60
out,60
allow,59
display,57
default,57
You,57
return,56
texture,55
next,55
get,55
string,54
do,54
{,54
value,53
new,53
our,52
(e.g,52
pass,52
within,52
==,52
make,50
windows,49
widget,49
then,48
0,47
any,47
after,47
e.g,47
*,46
width,46
},46
create,46
items,46
end,46
popup,45
Use,45
selection,44
different,44
up,43
each,43
:,42
I,42
height,42
them,42
number,41
should,41
always,41
has,41
values,41
UTF-8,41
float,40
between,40
calling,40
rendering,40
other,39
just,39
doesn't,39
widgets,39
For,38
rectangle,38
pixels,38
coordinates,38
store,38
FIXME:,37
array,37
@TODO,37
now,37
child,37
those,36
without,36
clipping,36
than,36
open,36
its,36
time,36
own,36
start,36
&,36
button,36
right,36
item,36
Render,35
Begin(),35
warning,35
application,35
some,35
active,35
last,35
instead,35
color,35
flag,35
stack,34
NB:,34
fonts,34
**,34
tree,33
node,33
avoid,33
here,33
was,33
Create,32
custom,32
find,32
command,32
scale,32
space,32
uses,32
index,32
left,32
true,31
access,31
given,31
how,31
edit,31
Set,30
OR,30
copy,30
they,30
visible,30
calls,30
box,30
memory,30
called,30
focus,30
bitmap,30
format,30
storage,30
screen,29
returns,29
horizontal,29
back,29
A,29
#define,29
undo,29
passed,29
type,28
above,28
axis,28
disable,28
would,28
column,28
also,28
name,28
pointer,27
fix,27
2,27
vertical,27
being,27
about,27
while,27
etc,26
during,26
vertices,26
must,26
spacing,26
single,26
bar,26
like,26
menu,26
NULL,26
implementation,25
previous,25
two,25
case,25
check,25
over,25
following,25
below,25
style,25
could,25
flags,25
scrolling,25
hash,25
amount,25
OF,25
been,24
layout,24
indices,24
