Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,31,34388,26165,18122,3822,4150,1446,4073,46632,1348,11881
D:\Dev\Projects\_2017\locust\src,31,34388,26165,18122,3822,4150,1446,4073,46632,1348,11881
D:\Dev\Projects\_2017\locust\src\engine,21,32924,25045,17421,3685,3877,1444,4002,46163,1348,11881
D:\Dev\Projects\_2017\locust\src\engine\runtime,19,32704,24874,17307,3667,3828,1443,4002,46159,1348,11881
D:\Dev\Projects\_2017\locust\src\engine\runtime\ImGui,9,23936,17959,12329,2926,2682,1337,3295,41778,1224,10911
D:\Dev\Projects\_2017\locust\src\engine\runtime\ImGuizmo,2,1888,1440,1069,149,277,4,171,914,64,443
D:\Dev\Projects\_2017\locust\src\engine\runtime\gfx,2,1946,1595,1106,163,279,44,72,552,0,0
D:\Dev\Projects\_2017\locust\src\engine\runtime\gfx\win32,1,1369,1142,837,163,174,19,53,322,0,0
D:\Dev\Projects\_2017\locust\src\engine\runtime\linux,0,0,0,0,0,0,0,0,0,0,0
D:\Dev\Projects\_2017\locust\src\engine\runtime\netcode_io,2,247,155,56,9,69,5,23,234,23,228
D:\Dev\Projects\_2017\locust\src\engine\runtime\win32,3,2608,1952,1493,241,358,19,298,1461,12,150
D:\Dev\Projects\_2017\locust\src\engine\tools,2,220,171,114,18,49,1,0,4,0,0
D:\Dev\Projects\_2017\locust\src\engine\tools\editor,1,148,114,77,15,34,1,0,4,0,0
D:\Dev\Projects\_2017\locust\src\engine\tools\logging_console,1,72,57,37,3,15,0,0,0,0,0
D:\Dev\Projects\_2017\locust\src\foundation,10,1464,1120,701,137,273,2,71,469,0,0
D:\Dev\Projects\_2017\locust\src\foundation\logging,2,166,130,74,9,35,1,1,8,0,0
D:\Dev\Projects\_2017\locust\src\foundation\math,1,271,225,146,36,46,1,0,10,0,0
D:\Dev\Projects\_2017\locust\src\foundation\memory,4,497,343,224,15,99,0,55,399,0,0
D:\Dev\Projects\_2017\locust\src\foundation\sockets,2,512,409,249,77,89,0,14,47,0,0
