File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__copy3(float* result, float const* a)",4,4,4,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__dot3(float const* a, float const* b)",2,2,2,1,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__transform3(float* p, float const* x, float const* y, float const* z)",7,7,7,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__cross3(float* result, float const* a, float const* b)",7,7,7,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__mix3(float* d, float const* a, float const* b, float t)",7,7,7,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__scale3(float* result, float a)",4,4,4,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,par_shapes__normalize3(float* v),5,5,4,1,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__subtract3(float* result, float const* a)",4,4,4,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__add3(float* result, float const* a)",4,4,4,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__sqrdist3(float const* a, float const* b)",5,5,5,1,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,par_shapes__compute_welded_normals(par_shapes_mesh* m),15,15,14,1,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_cylinder(int slices, int stacks)",6,6,4,3,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_parametric_sphere(int slices, int stacks)",8,8,6,3,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_hemisphere(int slices, int stacks)",8,8,6,3,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_torus(int slices, int stacks, float radius)",9,9,7,3,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_klein_bottle(int slices, int stacks)",16,16,11,6,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_trefoil_knot(int slices, int stacks, float radius)",9,9,7,3,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_plane(int slices, int stacks)",6,6,4,3,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_create_parametric(par_shapes_fn fn, int slices, int stacks, void* userdata)",52,45,39,7,4,0,3,7,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,par_shapes_free_mesh(par_shapes_mesh* mesh),6,6,6,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes_export(par_shapes_mesh const* mesh, char const* filename)",64,64,51,9,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__sphere(float const* uv, float* xyz, void* userdata)",6,6,6,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__hemisphere(float const* uv, float* xyz, void* userdata)",6,6,6,0,0,0,0,0,
D:\Dev\Projects\_2017\locust\src\engine\runtime\par_shapes-h.h,"par_shapes__plane(float const* uv, float* xyz, void* userdata)",4,4,4,0,0,0,0,0,
